Identifier,Non-polymer EntityData,,,,,,,,,,
Entry ID,Asym ID,Auth Asym ID,Ligand ID,Ligand Formula,Ligand MW,Ligand Name,InChI,InChI Key,Ligand SMILES,Ligand of Interest,
"5ST0","C","B","UV9","C9 H18 N2 O",170.252,"1-amino-4,4-dimethylcyclohexane-1-carboxamide","InChI=1S/C9H18N2O/c1-8(2)3-5-9(11,6-4-8)7(10)12/h3-6,11H2,1-2H3,(H2,10,12)","SCEKEGZXSWOPCH-UHFFFAOYSA-N","CC1(CCC(CC1)(C(=O)N)N)C"
"5ST1","C","A","UVO","C7 H7 N O3",153.135,"5-methoxy-2-nitrosophenol","InChI=1S/C7H7NO3/c1-11-5-2-3-6(8-10)7(9)4-5/h2-4,9H,1H3","RNBFLAJNUZQUIK-UHFFFAOYSA-N","COc1ccc(c(c1)O)N=O"
"5ST2","C","B","UW6","C5 H6 N2 O",110.114,"5-methylpyridazin-3(2H)-one","InChI=1S/C5H6N2O/c1-4-2-5(8)7-6-3-4/h2-3H,1H3,(H,7,8)","MMDFKVYPOQFQHP-UHFFFAOYSA-N","CC1=CC(=O)NN=C1"
"5ST3","C","A","UWI","C6 H11 N O2",129.157,"oxane-4-carboxamide","InChI=1S/C6H11NO2/c7-6(8)5-1-3-9-4-2-5/h5H,1-4H2,(H2,7,8)","DGOYLVBDCVINQZ-UHFFFAOYSA-N","C1COCCC1C(=O)N"
"5ST4","C, D","B","UWR","C8 H7 Cl N2",166.608,"(2R)-amino(3-chlorophenyl)acetonitrile","InChI=1S/C8H7ClN2/c9-7-3-1-2-6(4-7)8(11)5-10/h1-4,8H,11H2/t8-/m0/s1","MHUPYXJSGAMNFY-QMMMGPOBSA-N","c1cc(cc(c1)Cl)C(C#N)N"
"5ST5","C, D","B","UXB","C9 H12 Cl N O",185.651,"(3S)-3-amino-3-(3-chlorophenyl)propan-1-ol","InChI=1S/C9H12ClNO/c10-8-3-1-2-7(6-8)9(11)4-5-12/h1-3,6,9,12H,4-5,11H2/t9-/m0/s1","YQMOQQKIRFWPQL-VIFPVBQESA-N","c1cc(cc(c1)Cl)C(CCO)N"
"5ST6","C","B","V0X","C8 H9 N O",135.163,"(3R)-2,3-dihydro-1-benzofuran-3-amine","InChI=1S/C8H9NO/c9-7-5-10-8-4-2-1-3-6(7)8/h1-4,7H,5,9H2/t7-/m0/s1","PLCGAGSBVAGXMP-ZETCQYMHSA-N","c1ccc2c(c1)C(CO2)N"
"5ST7","C","B","V29","C12 H15 N O3",221.252,"(3R)-3-(benzylamino)oxolane-3-carboxylic acid","InChI=1S/C12H15NO3/c14-11(15)12(6-7-16-9-12)13-8-10-4-2-1-3-5-10/h1-5,13H,6-9H2,(H,14,15)/t12-/m1/s1","UZLSSCFGNVYENJ-GFCCVEGCSA-N","c1ccc(cc1)CNC2(CCOC2)C(=O)O"
"5ST8","C","B","V33","C9 H10 O3",166.174,"(3-methoxyphenyl)acetic acid","InChI=1S/C9H10O3/c1-12-8-4-2-3-7(5-8)6-9(10)11/h2-5H,6H2,1H3,(H,10,11)","LEGPZHPSIPPYIO-UHFFFAOYSA-N","COc1cccc(c1)CC(=O)O"
"5ST9","C","A","V8E","C10 H18 N2 O3",214.262,"(4-butanoylpiperazin-1-yl)acetic acid","InChI=1S/C10H18N2O3/c1-2-3-9(13)12-6-4-11(5-7-12)8-10(14)15/h2-8H2,1H3,(H,14,15)","ACTLPSBNONXRJG-UHFFFAOYSA-N","CCCC(=O)N1CCN(CC1)CC(=O)O"
